Signal,Description,Direction,Pin,IO_Standard,Bank,Notes
CLK_14M318,Master clock input (14.318 MHz NTSC),INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
nRESET,Global reset (active low),INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_PHI2,CPU Phase 2 clock,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[23],CPU Address bus bit 23 (MSB),INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[22],CPU Address bus bit 22,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[21],CPU Address bus bit 21,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[20],CPU Address bus bit 20,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[19],CPU Address bus bit 19,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[18],CPU Address bus bit 18,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[17],CPU Address bus bit 17,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[16],CPU Address bus bit 16,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[15],CPU Address bus bit 15,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[14],CPU Address bus bit 14,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[13],CPU Address bus bit 13,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[12],CPU Address bus bit 12,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[11],CPU Address bus bit 11,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[10],CPU Address bus bit 10,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[9],CPU Address bus bit 9,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[8],CPU Address bus bit 8,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[7],CPU Address bus bit 7,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[6],CPU Address bus bit 6,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[5],CPU Address bus bit 5,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[4],CPU Address bus bit 4,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[3],CPU Address bus bit 3,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[2],CPU Address bus bit 2,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[1],CPU Address bus bit 1,INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_A[0],CPU Address bus bit 0 (LSB),INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[7],CPU Data bus bit 7 (MSB),BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[6],CPU Data bus bit 6,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[5],CPU Data bus bit 5,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[4],CPU Data bus bit 4,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[3],CPU Data bus bit 3,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[2],CPU Data bus bit 2,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[1],CPU Data bus bit 1,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_D[0],CPU Data bus bit 0 (LSB),BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_RWB,"CPU Read/Write (1=read, 0=write)",INPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_RDY,CPU Ready (wait state control),OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_nIRQ,CPU IRQ (active low),OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
CPU_nNMI,CPU NMI (active low),OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[14],VRAM Address bit 14 (MSB),OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[13],VRAM Address bit 13,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[12],VRAM Address bit 12,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[11],VRAM Address bit 11,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[10],VRAM Address bit 10,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[9],VRAM Address bit 9,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[8],VRAM Address bit 8,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[7],VRAM Address bit 7,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[6],VRAM Address bit 6,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[5],VRAM Address bit 5,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[4],VRAM Address bit 4,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[3],VRAM Address bit 3,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[2],VRAM Address bit 2,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[1],VRAM Address bit 1,OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_A[0],VRAM Address bit 0 (LSB),OUTPUT,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_D[15],VRAM Data bit 15 (MSB),BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_D[14],VRAM Data bit 14,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_D[13],VRAM Data bit 13,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_D[12],VRAM Data bit 12,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_D[11],VRAM Data bit 11,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
VRAM_D[10],VRAM Data bit 10,BIDIR,Pxx,LVCMOS33,TBD,Assign based on PCB routing
